symbol,date,open,high,low,close,volume,gap_percent,pclose,h1_open,h1_high,h1_low,h1_close,h1_volume,h2_open,h2_high,h2_low,h2_close,h2_volume,h3_open,h3_high,h3_low,h3_close,h3_volume,opentoh3closechng%,closed_green
A,2023-05-24,115.2,121.09,113.28,120.99,6850400.0,-10.45,128.64,115.2,116.96,113.28,115.61,1585307.0,115.61,119.37,115.21,118.53,1254162.0,118.53,118.62,117.69,118.49,574114.0,2.8559027777777706,True
A,2023-11-21,121.46,124.68,121.23,123.92,6085800.0,6.56,113.98,121.46,124.68,121.23,123.32,1668546.0,123.33,124.0,123.05,123.53,749549.0,123.53,124.24,123.3,123.5,746413.0,1.6795652889840327,True
AA,2022-03-29,86.5,90.1,84.13,90.07,7530700.0,-6.45,92.46,86.5,88.49,84.13,88.17,2693087.0,88.17,89.69,88.0,89.0,1080696.0,88.99,89.32,87.85,88.45,723395.0,2.25433526011561,True
AA,2022-04-21,80.65,81.4,71.32,72.2,21971300.0,-7.22,86.93,80.65,81.4,76.0,76.41,6658642.0,76.4,77.8,74.71,76.28,3336484.0,76.27,77.16,73.75,73.95,2720588.0,-8.307501549907007,False
AA,2022-05-17,64.17,64.71,61.8,63.4,6836900.0,6.45,60.28,64.17,64.71,61.88,62.01,1579556.0,62.0,62.77,61.8,62.58,834766.0,62.58,63.4,62.44,63.04,543607.0,-1.7609474832476275,False
AA,2022-06-13,49.59,50.92,48.27,49.84,7334400.0,-6.45,53.01,49.59,50.46,48.51,48.78,1754417.0,48.76,49.71,48.27,49.57,1222585.0,49.57,50.61,49.28,50.61,782369.0,2.056866303690252,True
AA,2022-06-16,48.46,51.86,48.45,49.68,8381300.0,-5.18,51.11,48.46,50.27,48.45,50.16,1779414.0,50.14,50.67,49.36,50.51,1154378.0,50.51,50.8,50.3,50.71,717196.0,4.643004539826661,True
AA,2022-06-22,47.51,49.89,47.47,48.9,6422400.0,-5.13,50.08,47.51,48.99,47.47,48.78,1321606.0,48.8,49.17,48.05,48.76,755670.0,48.77,49.03,48.03,48.34,556778.0,1.747000631446023,True
AA,2022-07-07,45.5,46.73,45.18,45.65,7508200.0,6.73,42.63,45.5,46.73,45.18,45.49,2125802.0,45.49,45.85,45.33,45.51,807038.0,45.49,45.79,45.4,45.46,605199.0,-0.08791208791208603,True
AA,2022-07-14,40.84,41.15,39.56,40.81,5408200.0,-5.44,43.19,40.84,41.15,39.56,40.44,1755076.0,40.42,40.66,39.88,40.45,660611.0,40.46,40.94,40.16,40.24,641227.0,-1.469147894221355,False
AA,2022-07-21,47.33,47.45,43.46,45.15,12226200.0,5.04,45.06,47.33,47.45,44.18,44.18,4630850.0,44.18,44.75,43.75,43.86,2125921.0,43.85,44.19,43.46,43.97,1320489.0,-7.099091485315865,False
AA,2022-09-29,37.15,37.55,34.27,35.43,13168100.0,5.45,35.23,37.15,37.55,34.31,34.67,5415388.0,34.67,35.01,34.27,34.92,2001679.0,34.9,35.19,34.66,34.88,1309578.0,-6.110363391655441,False
AA,2022-11-04,41.54,43.52,40.8,42.4,11099400.0,10.19,37.7,41.54,43.3,41.38,43.24,2986189.0,43.26,43.52,42.24,42.28,1370918.0,42.29,42.37,40.8,41.85,1282459.0,0.7462686567164234,True
AA,2022-11-10,42.81,45.49,42.81,43.83,8201900.0,5.24,40.68,42.81,45.49,42.81,44.83,2683282.0,44.83,45.37,44.47,44.63,1415906.0,44.64,44.94,43.87,43.94,869432.0,2.6395701938799236,True
AA,2023-03-15,42.33,42.47,38.85,39.77,9434500.0,-5.07,44.59,42.33,42.47,40.01,40.31,1980918.0,40.29,40.94,40.2,40.34,1226181.0,40.33,40.52,39.13,39.28,1529496.0,-7.2052917552563125,False
AA,2024-01-23,29.15,30.49,29.03,29.51,9363900.0,5.54,27.62,29.15,30.49,29.03,29.83,3279554.0,29.81,29.82,29.27,29.54,942806.0,29.52,29.68,29.32,29.48,957584.0,1.1320754716981196,True
AADI,2023-12-15,2.34,2.71,2.25,2.34,5973300.0,-56.42,5.37,2.34,2.71,2.32,2.34,2403881.0,2.34,2.5,2.32,2.36,730536.0,2.34,2.39,2.32,2.34,656977.0,0.0,False
AAGR,2023-12-19,0.46,0.95,0.46,0.77,11590100.0,-5.73,0.49,0.46,0.55,0.46,0.55,607662.0,0.53,0.68,0.53,0.6,1181809.0,0.61,0.7,0.6,0.7,1366065.0,52.17391304347825,True
AAGR,2023-12-20,0.7,1.15,0.65,0.99,6273900.0,-9.61,0.77,0.7,0.72,0.65,0.68,554837.0,0.68,0.93,0.68,0.92,1023390.0,0.92,0.96,0.85,0.92,1248616.0,31.428571428571445,True
AAL,2022-10-11,12.74,12.86,11.79,12.26,64438100.0,5.73,12.05,12.74,12.85,11.97,11.97,21880596.0,11.97,12.1,11.79,12.1,11546625.0,12.1,12.39,12.09,12.36,8914538.0,-2.982731554160132,False
AAOI,2022-09-16,3.01,3.94,2.87,3.76,77414200.0,20.4,2.5,3.01,3.39,2.87,3.31,19594595.0,3.3,3.5,3.25,3.34,12105403.0,3.34,3.62,3.33,3.37,11512086.0,11.960132890365461,True
AAOI,2022-09-19,3.57,3.68,3.38,3.66,5167100.0,-5.05,3.76,3.57,3.68,3.4,3.61,3006933.0,3.6,3.67,3.46,3.47,1001742.0,3.47,3.52,3.45,3.46,180011.0,-3.0812324929971955,True
AAOI,2023-06-22,4.7,4.7,3.59,3.77,6424000.0,12.73,4.16,4.7,4.7,3.76,3.9,3001772.0,3.92,3.92,3.66,3.69,1575027.0,3.68,3.84,3.59,3.84,570375.0,-18.29787234042554,False
AAOI,2023-07-12,10.32,10.38,8.88,9.54,6554000.0,5.85,9.75,10.32,10.38,8.88,9.22,3008056.0,9.22,9.88,9.17,9.6,1295416.0,9.6,9.78,9.31,9.76,610815.0,-5.426356589147292,False
AAOI,2023-08-04,8.37,11.29,8.05,11.01,31716600.0,27.01,6.59,8.37,9.65,8.05,9.13,10456972.0,9.12,11.2,9.1,10.81,8899564.0,10.83,11.29,10.26,10.73,4979186.0,28.195937873357245,True
AAOI,2023-08-08,11.63,12.2,11.34,12.19,5693600.0,-6.06,12.38,11.63,12.09,11.34,11.53,1613406.0,11.53,11.97,11.41,11.78,940600.0,11.79,11.98,11.53,11.54,880342.0,-0.7738607050731009,True
AAOI,2023-08-21,13.49,15.59,13.36,15.44,7897900.0,5.39,12.8,13.49,15.44,13.36,14.78,3302503.0,14.78,15.43,14.76,15.18,1340157.0,15.19,15.39,14.61,14.72,836285.0,9.117865085248335,True
AAOI,2023-09-13,9.75,10.7,8.82,9.12,6637400.0,-14.17,11.36,9.75,10.7,9.4,9.41,2420895.0,9.41,9.6,9.12,9.29,1260749.0,9.28,9.33,9.01,9.14,693260.0,-6.256410256410251,False
AAOI,2024-02-23,13.74,14.68,12.14,14.15,19663300.0,-32.48,20.35,13.74,14.68,12.24,12.31,8586452.0,12.31,13.12,12.14,12.79,2996759.0,12.77,13.94,12.66,13.57,2314355.0,-1.2372634643376996,True
